Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Kevin Byard,TEN,1,0,0,0,2,0.0,11,8,3,0,0,1,30,1,0
Harold Landry,TEN,0,0,0,0,0,2.0,7,5,2,2,3,0,0,0,0
David Long,TEN,0,0,0,0,0,0.0,12,10,2,1,0,0,0,0,0
Dane Cruikshank,TEN,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Kristian Fulton,TEN,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Jackrabbit Jenkins,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Joseph Jones,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Elijah Molden,TEN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,1
Jeffery Simmons,TEN,0,0,0,0,1,0.0,3,3,0,1,2,0,0,0,0
John Simon,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Caleb Farley,TEN,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Olasunkanmi Adeniyi,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Denico Autry,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Breon Borders,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Rashaan Evans,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Chris Jackson,TEN,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0
Dawuane Smoot,JAX,0,0,0,0,0,1.5,3,2,1,1,3,0,0,0,0
K'Lavon Chaisson,JAX,0,0,0,0,0,1.0,6,3,3,2,3,0,0,0,0
Josh Hines-Allen,JAX,0,0,0,0,1,0.5,7,5,2,0,2,0,0,0,0
DaVon Hamilton,JAX,0,0,0,0,1,0.0,7,4,3,0,0,0,0,0,0
Damien Wilson,JAX,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0
Rayshawn Jenkins,JAX,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Andrew Wingard,JAX,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Myles Jack,JAX,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Shaquill Griffin,JAX,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Tre Herndon,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Jihad Ward,JAX,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Malcom Brown,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Chris Claybrooks,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Shaquille Quarterman,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Dakota Allen,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Adam Gotsis,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
